dataset,method,seed,test_env,acc
PACS,erm,0,art_painting,0.705078125
PACS,erm,1,art_painting,0.728515625
PACS,erm,2,art_painting,0.71533203125
PACS,groupdro,0,art_painting,0.65185546875
PACS,groupdro,1,art_painting,0.6357421875
PACS,groupdro,2,art_painting,0.6552734375
PACS,ipdr_inv,0,art_painting,0.724609375
PACS,ipdr_inv,1,art_painting,0.72900390625
PACS,ipdr_inv,2,art_painting,0.712890625
PACS,ipdr_no_ent,0,art_painting,0.6259765625
PACS,ipdr_no_ent,1,art_painting,0.65380859375
PACS,ipdr_no_ent,2,art_painting,0.626953125
PACS,ipdr,0,art_painting,0.7216796875
PACS,ipdr,1,art_painting,0.72705078125
PACS,ipdr,2,art_painting,0.7099609375
PACS,erm,0,cartoon,0.5068259239196777
PACS,erm,1,cartoon,0.5328497886657715
PACS,erm,2,cartoon,0.5298634767532349
PACS,groupdro,0,cartoon,0.4940272867679596
PACS,groupdro,1,cartoon,0.4850682318210602
PACS,groupdro,2,cartoon,0.48421499133110046
PACS,ipdr_inv,0,cartoon,0.5298634767532349
PACS,ipdr_inv,1,cartoon,0.5469282865524292
PACS,ipdr_inv,2,cartoon,0.531143307685852
PACS,ipdr_no_ent,0,cartoon,0.48421499133110046
PACS,ipdr_no_ent,1,cartoon,0.5008532404899597
PACS,ipdr_no_ent,2,cartoon,0.4940272867679596
PACS,ipdr,0,cartoon,0.5238907933235168
PACS,ipdr,1,cartoon,0.5426620841026306
PACS,ipdr,2,cartoon,0.5354095101356506
PACS,erm,0,photo,0.9688622951507568
PACS,erm,1,photo,0.9766467213630676
PACS,erm,2,photo,0.970059871673584
PACS,groupdro,0,photo,0.9616766571998596
PACS,groupdro,1,photo,0.9628742933273315
PACS,groupdro,2,photo,0.9652695059776306
PACS,ipdr_inv,0,photo,0.9640718698501587
PACS,ipdr_inv,1,photo,0.9652695059776306
PACS,ipdr_inv,2,photo,0.961077868938446
PACS,ipdr_no_ent,0,photo,0.946107804775238
PACS,ipdr_no_ent,1,photo,0.9580838680267334
PACS,ipdr_no_ent,2,photo,0.9497005939483643
PACS,ipdr,0,photo,0.961077868938446
PACS,ipdr,1,photo,0.9640718698501587
PACS,ipdr,2,photo,0.961077868938446
PACS,erm,0,sketch,0.4270806610584259
PACS,erm,1,sketch,0.38075846433639526
PACS,erm,2,sketch,0.43955203890800476
PACS,groupdro,0,sketch,0.4301348924636841
PACS,groupdro,1,sketch,0.38355815410614014
PACS,groupdro,2,sketch,0.43598878383636475
PACS,ipdr_inv,0,sketch,0.4336981177330017
PACS,ipdr_inv,1,sketch,0.41282767057418823
PACS,ipdr_inv,2,sketch,0.4354797601699829
PACS,ipdr_no_ent,0,sketch,0.4418427050113678
PACS,ipdr_no_ent,1,sketch,0.38737592101097107
PACS,ipdr_no_ent,2,sketch,0.4484601616859436
PACS,ipdr,0,sketch,0.43955203890800476
PACS,ipdr,1,sketch,0.392466276884079
PACS,ipdr,2,sketch,0.435225248336792
