dataset,method,mean_acc,std_acc,mean_worst,std_worst,weight_entropy_last,weight_max_last,weight_entropy_mean,weight_max_mean
breast_cancer,coral,0.9596491228070176,0.015935001863671017,0.9596491228070176,0.015935001863671017,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
breast_cancer,erm,0.9631578947368421,0.01901709069182348,0.9631578947368421,0.01901709069182348,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
breast_cancer,groupdro,0.9614035087719298,0.018189860836252365,0.9614035087719298,0.018189860836252365,1.0946777939796448,0.36581128239631655,1.0970346400737763,0.3506232255101204
breast_cancer,ipdr,0.9578947368421054,0.017977106606946645,0.9578947368421054,0.017977106606946645,1.0905579924583435,0.3827089250087738,1.080592099905014,0.4034668665528297
breast_cancer,ipdr_dro_inv,0.9578947368421054,0.017977106606946645,0.9578947368421054,0.017977106606946645,1.094949769973755,0.36398165225982665,1.0971161062717436,0.35016822576522827
breast_cancer,ipdr_inv,0.9578947368421054,0.017977106606946645,0.9578947368421054,0.017977106606946645,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
breast_cancer,ipdr_inv_cov,0.9596491228070174,0.013303290252721997,0.9596491228070174,0.013303290252721997,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
breast_cancer,ipdr_no_ent,0.9578947368421054,0.01143719720210987,0.9578947368421054,0.01143719720210987,0.0,1.0,0.0,1.0
breast_cancer,ipdr_no_inv,0.9614035087719298,0.018189860836252365,0.9614035087719298,0.018189860836252365,1.090023922920227,0.3831781804561615,1.0800983276367186,0.4046466010212898
breast_cancer,irm,0.9614035087719298,0.014678246079545184,0.9614035087719298,0.014678246079545184,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
breast_cancer,rex,0.9649122807017545,0.020571998946593985,0.9649122807017545,0.020571998946593985,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,coral,0.90808,0.007920353527463226,0.90808,0.007920353527463226,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,erm,0.90596,0.008113445630556711,0.90596,0.008113445630556711,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,groupdro,0.9106400000000001,0.009827919413589035,0.9106400000000001,0.009827919413589035,0.9868128570226522,0.5361681048686687,1.032101776416485,0.47807204627073724
colored_mnist,ipdr,0.9104800000000001,0.008144445960284862,0.9104800000000001,0.008144445960284862,1.0698306404627287,0.42169953768069923,1.0034417816308827,0.4931598966396772
colored_mnist,ipdr_dro_inv,0.91256,0.008329945978216156,0.91256,0.008329945978216156,0.9914966110999768,0.5314662050742369,1.0345190204106844,0.47527767979181734
colored_mnist,ipdr_inv,0.90916,0.009506208497608292,0.90916,0.009506208497608292,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,ipdr_inv_cov,0.90844,0.01016897241612938,0.90844,0.01016897241612938,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,ipdr_no_ent,0.89664,0.02288903667697701,0.89664,0.02288903667697701,0.0,1.0,0.0,1.0
colored_mnist,ipdr_no_inv,0.90648,0.00915270451833777,0.90648,0.00915270451833777,1.0680279089854312,0.42510647934216717,1.0010048439869514,0.495723219697292
colored_mnist,irm,0.88232,0.011481811703733876,0.88232,0.011481811703733876,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
colored_mnist,rex,0.9094,0.008307827634225488,0.9094,0.008307827634225488,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,coral,0.6268800000000001,0.008752256851806894,0.485,0.012423365083583437,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,erm,0.61436,0.007100915433942264,0.47135999999999995,0.009360982854380175,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,groupdro,0.6367,0.008545466634420847,0.49688,0.012111647286806169,1.0250593355068793,0.4564845658265627,1.0636204340824713,0.40643686271630797
rotated_mnist,ipdr,0.6742199999999999,0.004918536367660613,0.5416399999999999,0.010167988985045177,1.0331612376066355,0.46322058874827166,1.0114611711868873,0.48604892153006335
rotated_mnist,ipdr_dro_inv,0.68248,0.003583573635353401,0.55072,0.007613934593887752,1.0512069436220022,0.42805284422177536,1.0758226715601409,0.39103371432194345
rotated_mnist,ipdr_inv,0.6684,0.0063501968473426255,0.5347999999999999,0.00968090904822478,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,ipdr_inv_cov,0.68028,0.00638881835709858,0.54744,0.010199411747743085,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,ipdr_no_ent,0.6540199999999999,0.005063299319613664,0.52244,0.0095826927322126,0.0,1.0,0.0,1.0
rotated_mnist,ipdr_no_inv,0.62522,0.003008654184182683,0.4838,0.005573149917237118,1.0013648161521325,0.4944178356574132,0.9750949992583348,0.5171175893453451
rotated_mnist,irm,0.5816600000000001,0.005363114766625835,0.43976,0.003204372013359259,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
rotated_mnist,rex,0.61934,0.006137426170635349,0.4768,0.008945389874119528,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,coral,0.9054500000000001,0.025251897618462898,0.9054500000000001,0.025251897618462898,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,erm,0.9048333333333334,0.025348405604034903,0.9048333333333334,0.025348405604034903,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,groupdro,0.9272666666666666,0.021698486250325243,0.9272666666666666,0.021698486250325243,0.6204150992055093,0.7909150235114559,0.8175147184729576,0.6544665819021963
synthetic_spurious,ipdr,0.9106666666666667,0.02364846718077096,0.9106666666666667,0.02364846718077096,1.0707646773707482,0.4226123825196296,1.0520928372683065,0.45025182608635195
synthetic_spurious,ipdr_dro_inv,0.9276499999999999,0.02152690500022914,0.9276499999999999,0.02152690500022914,0.6320077696154194,0.7851752246579816,0.8244658701842831,0.6503463051588305
synthetic_spurious,ipdr_inv,0.9064833333333333,0.025174833112102668,0.9064833333333333,0.025174833112102668,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,ipdr_inv_cov,0.9068833333333334,0.024777033496544552,0.9068833333333334,0.024777033496544552,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,ipdr_no_ent,0.9149,0.0235710657138978,0.9149,0.0235710657138978,0.0,1.0,0.0,1.0
synthetic_spurious,ipdr_no_inv,0.9094666666666666,0.02429167381360672,0.9094666666666666,0.02429167381360672,1.069852223319392,0.42431647777557374,1.050785545456794,0.4521383919831246
synthetic_spurious,irm,0.9008166666666668,0.026108441057337076,0.9008166666666668,0.026108441057337076,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
synthetic_spurious,rex,0.9059833333333334,0.02490798343681974,0.9059833333333334,0.02490798343681974,1.0986123085021973,0.3333333432674408,1.0986123085021973,0.3333333432674408
